,date,policy_type,start_stop,comments,total_phases,state
3018,2020-06-16,Shelter in Place,start,"Policy_Details: Shelter in Place extended only for those living in nursing homes/similar facilities and/or those who are immunocompromised/have other risk factors (chronic disease, lung problems, obesity, etc.)    Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
3019,2020-03-13,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
3020,2020-04-27,Phase 1,start,"Policy_Details: *note: ""phases"" are not used to describe MS reopening but Safer at Home Order Stage 1- Executive Order 1477 by Governor Tate Reeves- shelter in place encouraged to continue for vulnerable populations, gatherings of 10 or more (without social distancing) not allowed, retail to 50%, restaurants/bars still takeout only, personal care/entertainment businesses still closed to the public but allowed minimum operations and curbside/drive through, recreation as allowed in previous order 4/20 remains (parks/beaches open limited basis) Phase Level: 1, Phase Details Source information: https://mcusercontent.com/08cb3e52aa1308600f84d49ea/files/e24a9045-8ab7-4aa0-bb23-bb49d342c816/Executive_Order_1477_Safer_at_Home.pdf",,MS
3021,2020-04-01,Shelter in Place,start,"Stay at home, effective April 1. Gov. Steve Sisolak had shut down all nonessential businesses and encouraged residents to stay home for weeks before issuing a formal order, codifying a message he had been trying to send for weeks: ""STAY HOME for our State,"" he said on Twitter.",,NV
3022,2020-07-16,Day Care,start,Policy_Details: allowed to operate during regular business hour with sanitary measures    Source information: https://www.estado.pr.gov/en/executive-orders/,,PR
3025,2020-04-15,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,HI
3027,2020-07-13,Childcare (K-12),start,"Policy_Details: Gov. John Bel Edwards' Proclamation 89 JBE 2020 on 7/11:  ordered a mandatory mask requirement for Louisiana as well as limited crowd sizes to 50 in both indoor spaces and outdoor spaces where 6 ft social distancing is not possible: all individuals to wear face coverings when inside of commercial establishments or other buildings or spaces open to the public, both indoors and outdoors, including public transportation.  Businesses and organizations must require persons entering to be wearing a face covering unless exceptions apply.  While masks are strongly recommended for children ages 2 to 7, they are not required for those 7 and under. Some counties are eligble to opt out of the mask requirement.    Source information: https://gov.louisiana.gov/assets/Proclamations/2020/89-JBE-2020.pdf",,LA
3028,2020-05-09,Outdoor and Recreation,start,"Policy_Details: state parks re-open with limited parking, hours of operation, & activities ; recreation establishments (e.g. bowling alleys) & exercise facilities (i.e. gymnasiums, fitness centers) remain closed 

 Phase Level: 1, Phase Details Source information: https://governor.ri.gov/documents/orders/Executive-Order-20-32.pdf",3.0,RI
3029,2020-05-30,Houses of Worship,start,"Policy_Details: gatherings of more than 50 people, both public and private should be avoided. 
non-essential travel can resume. 
all business and governmental agencies may continue to resume operations at physical locations. 

night clubs and large venues are required to remain closed.  Phase Level: 3, Phase Details Source information: https://coronavirus.idaho.gov/stay-healthy-order/",,ID
3030,2020-05-04,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,NE
3036,2020-10-09,Phase 2,stop,"Policy_Details: Mayor Bowser issued Order 2020-079 extending state of emergency & public health emergency for D.C.  Phase Level: 2, Phase Details Source information: https://coronavirus.dc.gov/release/mayor-bowser-issues-new-mayor%E2%80%99s-order-masks-extends-public-health-emergency",,DC
3038,0020-06-01,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,RI
3039,2020-05-15,Shelter in Place,stop,Gov. Hogan to lift stay-at-home order 5/15 https://www.baltimoresun.com/coronavirus/bs-md-pol-stay-at-home-20200513-lzdziypfbrcybmanwqard4tp5u-story.html,,MD
3046,2020-05-04,Shelter in Place,stop,State Policy End,,FL
3048,0020-06-04,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,CO
3049,2020-10-02,Phase 2,stop,"Policy_Details: *phase 2.5 
Governor Roy Cooper signed Executive Order 163 on 9/1: Revised prohibitions and restrictions that move the state in Safer at Home Phase 2.5 measures.
what changes in this order: 
- Mass gathering limits will be increased to 25 people indoors and 50 people outdoors.
- Playgrounds will be allowed to open.
- Museums and aquariums can open at 50% capacity.
- Fitness and competitive physical activity facilities can open at 30% capacity.
- All employers in North Carolina are strongly encouraged to provide face coverings to their employees.
what remains the same: 
- Bars, nightclubs, movie theaters, amusement parks, dance halls and other entertainment facilities will remain closed.
- Restaurants remain subject to capacity limits and other requirements for in-person dining.
- Personal care businesses, such as hair salons, nail salons, barber shops and more remain subject to capacity limits and other requirements.
- Large venues remain subject to the mass gathering limits.
- Wedding receptions and other private events remain subject to the mass gathering limits.
- Face coverings are still required in public.   Source information: https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf",,NC
3050,2020-12-02,Houses of Worship,stop,"Policy_Details: Religious facilities may operate, but are limited to a maximum of 25 people indoors or 50 people outdoors.   Source information: https://www.oregon.gov/gov/Documents/executive_orders/eo_20-65.pdf",,OR
3052,2020-10-01,Food and Drink,stop,"Policy_Details: alcoholic beverage permit activation deadline extended from July 1 to October 1 ; lower required annual food sales amounts for alcoholic beverage permittees whose businesses were required to close and/or reduce in-person dining to an amount proportional to the length of the public health emergency ; permittees whose permits were issued in the 2 months immediately preceding or during the public health emergency begin gross food sales projections in August 
 Phase Level: 5, Phase Details Source information: https://www.in.gov/gov/files/Executive%20Order%2020-31%20Additional%20Extensions%20of%20Time.pdf",5.0,IN
3055,2020-05-08,Shelter in Place,stop,State Policy End,,RI
3058,2020-04-27,Shelter in Place,stop,State Policy End,,MT
3059,2020-11-23,Outdoor and Recreation,stop,"Policy_Details: - Event hosts must require masks of all participants
- No private, recreation, or club sports and athletic events   Source information: https://coronavirus-download.utah.gov/Health/State_of_Emergency.pdf",,UT
3061,0020-06-10,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MN
3062,0020-05-16,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,ID
3064,2020-05-17,Shelter in Place,stop,"Policy_Details: Referred to as a ""stay at home"" order, the policy enacted was of Minnesotans remaining home with the exception of ""essential activities"" and exempted activities.   Source information: https://www.leg.mn.gov/archive/execorders/20-20.pdf",4.0,MN
3065,2020-05-31,Houses of Worship,stop,"Policy_Details: gatherings over 10 persons prohibited ; limited drive-in, stay-in-your vehicle religious services
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
3066,2020-06-09,Food and Drink,stop,"Policy_Details: outdoor dining only ; 50 customers max, 6 ft social distance ; reservations required ; masks required for workers, strongly recommended for customers 
 Phase Level: 2, Phase Details Source information: https://mn.gov/covid19/for-minnesotans/stay-safe-mn/stay-safe-plan.jsp",4.0,MN
3067,2020-06-30,Childcare (K-12),stop,"Policy_Details: Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
   Source information: https://govstatus.gov.com/reopening-oregon#phase2",,OR
3068,2020-06-15,New Phase,stop,"Policy_Details: nail salons, hair salons, barber shops, cosmetology, tattoo parlors etc, may re-open or continue to operate under social distancing conditions.   Source information: https://covid19.wyo.gov/governors-orders",,WY
3072,0020-06-19,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
3073,0020-06-01,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
3075,2020-06-12,Manufacturing,stop,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
3077,2020-12-31,Childcare (K-12),stop,Policy_Details: All staff must wear masks when within 6 ft. of children for >= 15 consecutive minutes.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf,4.0,NE
3082,2020-07-19,State of Emergency/Funds,stop,"Policy_Details: Governor Polis issued Executive Order D 2020 109 to extend Executive Orders D 2020 003, D 2020 018, D 2020 032, D 2020 058, and D 2020 076 to extend state of emergency declared in Colorado and deployment of Colorado National Guard. This will also increase funds previously made available to CDPHE by $12,600,000 and the funds previously made available to the Colorado Department of Public Safety by $6,700,000 for COVID-19 response Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20109%20Disaster%20Order%20Extension.pdf",,CO
3083,2020-09-15,Childcare (K-12),stop,"Policy_Details: part-time school-age children may be cared for in a child care facilities on a full-day
basis during school closing days, remote-learning days, snow days, and vacation days which occur during the school year    Source information: https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%204%20TO%20AMENDED%20AND%20RESTATED%20EXECUTIVE%20ORDER%2001-20.pdf",,VT
3084,2020-08-10,Childcare (K-12),stop,"Policy_Details: Order from the Cabinet for Health and Family Services: additional restrictions to slow the spread of COVID-19. Public and private schools are being asked to delay in-person instruction until the third week of August   Source information: https://govsite-assets.s3.amazonaws.com/5l7HAtkSS4CqDxLf7WIV_7-28-2020%20CHFS%20Order.pdf, https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=283",,KY
3090,2020-06-05,Phase 1,stop,"Policy_Details: Edwards announced that Louisiana will be in Phase 1 of reopening from May 15 through June 5. The stay-at-home order will lift, though high-risk individuals are encouraged to stay home. All individuals must wear face coverings, practice good hygiene and maintain six feet of distance from non-household members. Certain nonessential businesses can open with occupancy limits. Employers are encouraged to continue allowing employees to telework whenever possible.
In Phase 1, the following businesses can open at 25% capacity with sanitation protocols and spacing for physical distancing: gyms, fitness centers, theaters, places of worship, barber shops, nail salons, hair salons, bars serving food, casinos and video poker, museums, zoos and aquariums. Massage parlors, bars without food permits, tattoo parlors, amusement parks, contact sports, playgrounds, theme parks, adult entertainment venues and other similar businesses will remain closed. Phase Level: 1, Phase Details Source information: https://gov.louisiana.gov/assets/Proclamations/2020/58-JBE-2020.pdf",3.0,LA
3091,2020-07-03,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
3093,0020-05-26,Non-Essential Businesses,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
3094,2020-08-10,Food and Drink,stop,"Policy_Details: Order from the Cabinet for Health and Family Services: Effective July 28, bars are closed for two weeks (on-site operations closed, takeout of alcohol allowed when incidental with food). Restaurants are limited to 25% of pre-pandemic capacity indoors.    Source information: https://govsite-assets.s3.amazonaws.com/5l7HAtkSS4CqDxLf7WIV_7-28-2020%20CHFS%20Order.pdf, https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=283",,KY
3095,0020-05-13,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave",,AZ
3097,2020-05-04,Shelter in Place,stop,SAH changed to voluntary on 5/4 with limited reopening of dining https://governor.sc.gov/news/2020-05/gov-henry-mcmaster-lift-work-or-home-order-may-4th,,SC
3098,2020-12-30,Phase 3,stop,"Policy_Details: Governor Noem restates the State of Emergency for South Dakota Phase Level: 3, Phase Details Source information: https://covid.sd.gov/docs/2020-30.pdf",,SD
3101,2020-07-03,Non-Essential Businesses,stop,"Policy_Details: retail stores, malls, professional office buildings open at 100% capacity  Phase Level: 4, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage4.pdf",5.0,IN
3102,2020-11-12,Food and Drink,stop,Policy_Details: expedited approval and permitting for expanded outdoor dining; 60-day maximum credit available to liquor permittees restricted from engaging in on-premise sales    Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7OOO.pdf,,CT
3103,2020-05-28,Shelter in Place,stop,"



On 5/15 Cuomo extended the SIP until 5/28, although ""a handful"" of areas can start reopening.  https://www.npr.org/sections/coronavirus-live-updates/2020/05/15/856763580/new-york-extends-stay-at-home-order-allows-some-areas-to-begin-reopening",,NY
3106,2020-07-17,Childcare (K-12),stop,Policy_Details: youth overnight camps commence with camper/employee screening and face coverings    Source information: https://www.in.gov/gov/files/Executive%20Order%2020-35%20Back%20on%20Track%20Indiana%20Stage%204_5.pdf,5.0,IN
3108,2020-06-01,Non-Essential Businesses,stop,"Policy_Details: Main Street and retail businesses can become operational with reduced capacity and
where strict physical distancing protocols can be maintained.
Outdoor recreation can become operational if sites adhere to strict physical distancing
between groups and exercise frequent sanitation protocols if public facilities are open.
Organized youth activities can consider becoming operational if physical distancing
guidelines can be implemented. (Organized youth activities should avoid gathering in groups of more than 10 people in circumstances that do not readily allow for appropriate physical
distancing.) Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
3109,2020-05-29,Shelter in Place,stop,State Policy End,,IL
3110,2020-12-31,Food and Drink,stop,Policy_Details: Bars and restaurants: Patrons must be seated. Parties of 8 with 6 ft. separation between parties.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf,4.0,NE
3112,0020-05-18,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,FL
3117,2020-06-15,Personal Care,stop,"Policy_Details: nail salons, hair salons, barber shops, cosmetology, tattoo parlors etc, may re-open or continue to operate under social distancing conditions.    Source information: https://covid19.wyo.gov/governors-orders",,WY
3118,2020-06-30,Day Care,stop,"Policy_Details: Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.   Source information: https://govstatus.gov.com/reopening-oregon#phase2",,OR
3120,0020-05-15,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,LA
3121,0020-06-15,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,NJ
3125,2020-12-15,Outdoor and Recreation,stop,Policy_Details: Commercial fishing harvesters must be screened upon arrival to worksite and screenings must be documented. Crew members follow the proper quarantine procedures depending on the type of travel.    Source information: https://covid19.alaska.gov/wp-content/uploads/2020/11/Outbreak-Health-Order-No-5-Appendix-03-Independent-Commercial-Harvesters.pdf,,AK
3127,2020-06-25,Non-Essential Businesses,stop,Policy_Details: Personal Care: Social Distancing   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.06.10.pdf,,IA
3136,2020-08-03,Mask Requirement,stop,"Policy_Details: Executive Order 54 by Governor Bill Lee signed 7/3 regarding face coverings: all persons encouraged to wear face coverings in public places.
Further, county mayors in the 89 counties that do not have county health departments have authority to issue orders requiring face coverings so long as they do not require face coverings to be worn while driving (unless for hire), by someone 12 years or younger, those with relevant breathing/health conditions, those unable to remove face coverings without assistance, while eating or drinking, while outdoors unless 6 ft distance not possible, while social distance is kept, when face covering poses security or safety risk, while in a Houses of Worship, or while in a voting site.    Source information: https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee54.pdf",,TN
3141,2020-07-01,Houses of Worship,stop,"Policy_Details: Extra large venues hosting life rites may operate up to 100 people Phase Level: 2, Phase Details Source information: https://covid19.colorado.gov/covid-19-in-colorado/public-health-executive-orders-resource",,CO
3142,2020-08-09,Day Care,stop,"Policy_Details: Executive Order 2020-586: Signed 7/19 by Governor Andy Beshear. Effective 7/10 at 5 pm for 30 days. Face coverings must be worn in most public settings, including while in line or inside of daycare facility.  Exceptions for those 5 and under.    Source information: https://govsite-assets.s3.amazonaws.com/A59NLcxVTFG7ioyvncMY_20200709_Executive-Order_State-of-Emergency.pdf",,KY
3144,2020-04-24,Shelter in Place,stop,"Health Mandate 016, the Reopen Alaska Responsibly Plan, Phase I-A, goes into effect on April 24. The order allows restaurants to resume dine-in service and retail shops and other businesses to reopen, subject to limitations.",,AK
3147,2020-12-31,Food and Drink,stop,"Policy_Details: Patrons required to be seated, parties of 8.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf",5.0,NE
3150,2020-06-30,Phase 2,stop,"Policy_Details: Phase 2: Gov. Beshear announced the second phase of reopening the commonwealth’s economy
All businesses should follow the 10 rules of staying healthy at work as well as industry-specific guidance, which will be issued as soon as possible. The new tentative dates for reopening are: May 9 - houses of worship open to 33%
May 22 – Restaurants, with limited 33% capacity and outdoor seating, May 25 - reopening of personal care establishments 
June 1 – Movie theaters, fitness centers June 10 - houses of worship to 50%
June 11 – Campgrounds, public and private
June 15 – Child care, with reduced capacity; and potentially low-touch and outdoor youth sports
The Governor added that Phase 3 is coming July 1 with bars, with limitations, and gatherings up to 50 people allowed. Phase Level: 2, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=156, https://govstatus.egov.com/ky-healthy-at-work",,KY
3151,2020-06-09,Phase 2,stop,Policy_Details: Slight loosening of policies especially for restaurants and bars.   Source information: https://mn.gov/governor/assets/EO%2020-63%20Final_tcm1055-433759.pdf,4.0,MN
3158,2020-06-20,Non-Essential Businesses,stop,"Policy_Details: hair salons open  Phase Level: 1, Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/News/20200526-Governors-Reopen-Report.pdf?la=en",3.0,CT
3160,0020-06-05,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,HI
3161,2020-06-15,Personal Care,stop,"Policy_Details: Safe Return Order: Executive Order 1492 by Governor Reeves: 
All businesses/nonprofits now allowed to reopen or remain open w/ limitations: (most already allowed to reopen given restrictions in previous orders)  Phase Level: 3, Phase Details Source information: https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1492-Safer-Return.pdf",,MS
3167,2020-09-30,Mask Requirement,stop,"Policy_Details: Governor Brian Kemp issued Executive Order on 9/15, providing additional guidance for Empowering a Healthy Georgia in response to COVID-19.No mask requirement statewide, residents only strongly encouraged to wear face coverings as practicable while outside their homes or place of residence, except when eating, drinking, or exercising outdoors.  Local government entities may choose to impose Local Option Face Covering Requirements if their county meets the threshold requirement of cases, so long as this requirement is not applied to certain individuals/activities (i.e. eating/drinking, bona fide religious/medical reason) and shall not result in any fines against any businesses or other establishments.  Fines against any person per offense max $50 and no imprisonment. Enforcement only against individuals and not to be enforced at polling place or residential property, only at private property when owner/occupant consents.     Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
3168,2020-06-01,Food and Drink,stop,"Policy_Details: o Restaurants, bars, breweries, distilleries, and casinos can become operational on or after
May 4, 2020 under strict physical distancing and reduced capacity protocols in
accordance with State guidelines.
 These businesses will be required to close their doors and have all patrons out by
11:30 p.m. Breweries and distilleries shall follow existing laws on closing time.
 The expansions for delivery and takeout services, as provided both in the March
24 and March 26 Directives, are extended through the end of the emergency.
 In addition, restaurants, bars, breweries, distilleries, and casinos that reopen
must adhere to the general and specific guidelines provided in Appendix A,
attached. Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
3170,2020-10-16,Phase 2,stop,"Policy_Details: *phase numbers not used to describe NM reopening: New Mexico Secretary of Health Kathy Kunkel this week issued a public health order that amended previous health orders (most recent 9/3) with limited to no changes and is effective 9/18 to 10/16.  Added restriction to public swimming pools of no more than 10 people using concurrently (before, limited to lane swimming/lessons) splash areas remain closed. All other restrictions on mass gatherings (10 persons+, prohibited) food and drink, outdoor and recreation, schools, non essential businesses and retail remain the same.  No new notes on mask requirements.    Source information: https://cv.nmhealth.org/wp-content/uploads/2020/09/091820-PHO.pdf",,NM
3171,2020-06-12,"Phase 2, 3",stop,"Policy_Details: Governor Herbert extended Utah COVID-19 health risk status order he issued on May 29, 2020 -Public health risk remains orange (moderate risk) in Salt Lake City, Bluff, and Mexican Hat, and the rest of the state remains in yellow (low risk) Phase Level: 2, 3 , Phase Details Source information: https://coronavirus.utah.gov/governor-maintains-current-health-risk-guidance/",,UT
3172,2020-06-30,Outdoor and Recreation,stop,"Policy_Details: community sports & day camps resume ; coastal state parks, campgrounds, & RV parks open 
 Phase Level: 2, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine ; Executive Order No. 55 FY 19/20 : https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20to%20Further%20Implement%20the%20Restarting%20Plan.pdf",3.0,ME
3173,2020-12-31,Houses of Worship,stop,Policy_Details: 6 ft. of separation between household units.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf,4.0,NE
3175,0020-06-19,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,HI
3176,2020-05-15,Shelter in Place,stop,"Stay at home, effective at 5 p.m. EDT, March 25 until April 15. On April 10, extended to May 15.",,VT
3180,2020-05-20,Shelter in Place,stop, https://kentucky.gov/Pages/Activity- Retail and worship reopening 5/20,,KY
3183,0020-06-17,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
3184,2020-06-05,New Phase,stop,"Policy_Details: The new order clarifies that generally all businesses that are within the counties that have been moved to the low risk phase are operating if they can meet and adhere to the specific guidelines. For clarity, the order states symptom checking in public and business interactions should happen when feasible. The guidance for K-12 education addresses the resumption of school activities, including sports, under jurisdiction of district and school authorities in adherence to indoor and outdoor guidelines. Regarding higher education, campuses may be open for in-person classes with increased cleaning and hygiene regimen.   Source information: https://coronavirus.utah.gov/governor-issues-executive-order-releasing-updated-guidelines-for-low-risk-phase-in-the-utah-leads-together-plan/",,UT
3185,2020-05-04,Phase 1,stop,"Policy_Details: elective procedures resume ; 1 person may accompany patient  Phase Level: 1, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage1.pdf",5.0,IN
3189,2020-06-30,Phase 3,stop,"Policy_Details: operational, professional, and firearm licenses/certifications/permits expired during public health emergency extended to June 30 
 Phase Level: 3, Phase Details Source information: https://www.in.gov/gov/files/Executive%20Order%2020-31%20Additional%20Extensions%20of%20Time.pdf",5.0,IN
3190,2020-09-30,Houses of Worship,stop,"Policy_Details: Governor Brian Kemp issued Executive Order on 9/15, providing additional guidance for Empowering a Healthy Georgia in response to COVID-19.  No new guidelines on houses of worship.  People with bona fide religious exceptions not required to abide with Local Option Face Covering Requirements.     Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
3191,2020-05-08,Shelter in Place,stop,State Policy End,,PA
3195,2020-06-30,Non-Essential Businesses,stop,"Policy_Details: lodging open to Maine residents and out-of-state residents who have completed 14-day quarantine  Phase Level: 2, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine ; Executive Order No. 55 FY 19/20 : https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20to%20Further%20Implement%20the%20Restarting%20Plan.pdf",3.0,ME
3197,2020-06-12,Personal Care,stop,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
3198,2020-06-07,Outdoor and Recreation,stop,"Policy_Details: Phase 2 of the ""Ad Astra"" plan.   Phase Level: 2, Phase Details: Mass gatherings of more than 15 individuals will be prohibited;

All businesses and activities slated to open during Phase 2 will be allowed, with the exception of bars, night clubs and swimming pools. These will be moved to Phase 3;

Businesses and activities that will be allowed to open in Phase 2 include:

Recreational organized sports facilities, tournaments and practices will be allowed to begin on Friday, May 22, and must adhere to social distancing requirements and follow Parks and Recs guidelines, which can be found on covid.ks.gov;

Community Centers will be allowed to open, except for indoor and outdoor swimming pools;
Indoor leisure spaces such as arcades, trampoline parks, theaters, museums and bowling allies will be allowed to open on May 22;

State-owned-and-operated casinos will be allowed to open once their re-opening plan has been approved by the Kansas Department of Health and Environment;

In-person group exercise classes will be allowed to begin with groups of no more than 15 at a time. Locker rooms remain closed except for restroom facilities;

Everything opened in Phase 1 and Phase 1.5 remains open pursuant to the restrictions outlined in Executive Order 20-34. Source information: https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-34-Implementing-Phase-2-Executed.pdf",,KS
3199,2020-11-08,Food and Drink,stop,"Policy_Details: On 9/30 amended Safer at Home order issued by Scott Harris, State Health Officer (previous order was set to expire 10/2, only change is for HOSPITALS AND NURSING HOMES- Subject to restrictions, patients and residents will be allowed visits from one caregiver or one visitor at a time):
WHAT’S STAYING THE SAME:
RESTAURANTS, BARS AND BREWERIES
May open with limited table seating, 6 feet between tables and subject to additional sanitation rules and guidelines   Source information: https://governor.alabama.gov/assets/2020/09/GKI-0040-2020-Health-Order-Update-Nov-8-Horizontal-2.pdf,https://governor.alabama.gov/assets/2020/09/Safer-at-Home-Order-Final-9.29.2020.pdf",,AL
3200,2020-08-31,Phase 3,stop,"Policy_Details: Governor Burgum ordered that all North Dakota law enforcement agencies and private sector businesses operating must recognize any North Dakota driver's license or motor vehicle registration that expired on or after March 1, 2020 Phase Level: 3, Phase Details Source information: https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-36.pdf",,ND
3201,0020-06-12,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
3206,0020-05-18,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,SC
3208,2020-07-27,Houses of Worship,stop,"Policy_Details: ""Nothing in this order shall inhibit a person from engaging in constitutionally protected activities such as speech and religion""   Source information: https://azgovernor.gov/sites/default/files/eo_2020-43.pdf",,AZ
3209,2020-11-08,Day Care,stop,"Policy_Details: On 9/30 amended Safer at Home order issued by Scott Harris, State Health Officer (previous order was set to expire 10/2, only change is for HOSPITALS AND NURSING HOMES- Subject to restrictions, patients and residents will be allowed visits from one caregiver or one visitor at a time):
CHILD DAY CARE FACILITIES
May open subject to social-distancing and sanitation rules and guidelines
   Source information: https://governor.alabama.gov/assets/2020/09/GKI-0040-2020-Health-Order-Update-Nov-8-Horizontal-2.pdf,https://governor.alabama.gov/assets/2020/09/Safer-at-Home-Order-Final-9.29.2020.pdf",,AL
3210,2020-05-15,Shelter in Place,stop,State Policy End,,NV
3211,2020-12-31,Phase 2,stop,"Policy_Details: Currently at 20% hospitalization. Indoor gatherings limited to 25% occupancy, parties of 8 with 6 ft. separation between parties. Outdoor gatherings limited to 100% occupancy, parties of 8 with 6 ft. separation between parties. Elective surgeries: All inpatient Class D & E surgeries postponed.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf",4.0,NE
3212,0020-05-04,Non-Essential Businesses,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,OH
3215,2020-06-15,Food and Drink,stop,"Policy_Details: take-out, delivery, drive-through, curbside pickup only ; restaurants, diners, bars, saloons temporarily authorized for takeout/delivery of beer & wine  Phase Level: 1, Phase Details Source information: https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-49.pdf",,NH
3217,2020-06-25,Day Care,stop,Policy_Details: Social distancing   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.06.10.pdf,,IA
